level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	810	27	-1	
2	1	1	0	0	0	37	0	750	27	-1	
3	1	1	1	0	0	37	0	750	27	-1	
4	1	1	1	1	0	37	0	750	27	-1	
5	1	1	1	1	1	37	0	244	24	4.368446	0
