level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	810	27	-1	
2	1	1	0	0	0	37	0	752	27	-1	
3	1	1	1	0	0	37	0	752	27	-1	
4	1	1	1	1	0	37	0	752	27	-1	
5	1	1	1	1	1	37	0	752	27	0.000000	71211157741101167065123433357711
