level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	810	24	-1	
2	1	1	0	0	0	34	0	734	23	-1	
3	1	1	1	0	0	34	0	734	23	-1	
4	1	1	1	1	0	34	0	734	23	-1	
5	1	1	1	1	1	34	0	107	22	0.000000	3
5	1	1	1	1	2	229	0	455	23	0.000000	6
5	1	1	1	1	3	747	0	21	23	0.000000	4
